name,first_name,last_name,birth_city,birth_state,birth_country,birth_date,college,draft_team,draft_round,draft_pick,draft_year,position,height,weight,death_date,death_city,death_state,death_country,year_start,year_end
David Diaz-Infante,David,Diaz-Infante,San Jose,CA,USA,3/31/1964,San Jose St.,,,,,G-C,3-Jun,291,,,,,1989,1989
John Dibb,John,Dibb,,,,12/24/1903,Army,,,,,T,Jun-00,200,,,,,1930,1930
Dorne Dibble,Dorne,Dibble,Adrian,MI,USA,4/26/1929,Michigan St.,Detroit Lions,3rd,33rd,1951,E-DB,2-Jun,195,,,,,1930,1930
Rick DiBernardo,Rick,DiBernardo,Redondo Beach,CA,USA,6/12/1964,Notre Dame,,,,,LB,3-Jun,230,,,,,1930,1930
Jim Dick,Jim,Dick,,IL,USA,6/18/1964,North Dakota St.,,,,,LB,1-Jun,230,,,,,1987,1987
Dan Dickel,Dan,Dickel,Fort Riley,KS,USA,8/24/1952,Iowa,Baltimore Colts,7th,170th,1974,LB,3-Jun,225,,,,,1987,1987
Andy Dickerson,Andy,Dickerson,Philadelphia,PA,USA,3/10/1963,Miami (FL),,,,,G,5-Jun,260,,,,,1987,1987
Anthony Dickerson,Anthony,Dickerson,Texas City,TX,USA,6/9/1957,SMU,,,,,LB,2-Jun,220,,,,,1987,1987
Dorin Dickerson,Dorin,Dickerson,Oakdale,PA,USA,3/31/1988,Pittsburgh,Houston Texans,7th,227th,2010,TE,2-Jun,230,,,,,1987,1987
Dorin Dickerson,Dorin,Dickerson,,,,3/31/1988,,,,,,WR,4-Jun,226,,,,,1987,1987
Eric Dickerson,Eric,Dickerson,Sealy,TX,USA,9/2/1960,SMU,Los Angeles Rams,1st,2nd,1983,RB,3-Jun,220,,,,,1987,1987
Kori Dickerson,Kori,Dickerson,Los Angeles,CA,USA,12/6/1978,USC,,,,,TE,4-Jun,235,,,,,1987,1987
Ron Dickerson,Ron,Dickerson,Denver,CO,USA,8/31/1971,Arkansas,,,,,RB-WR,Jun-00,211,,,,,1987,1987
Charlie Dickey,Charlie,Dickey,Ottumwa,IA,USA,12/31/1962,Arizona,,,,,G,3-Jun,270,,,,,1987,1987
Curtis Dickey,Curtis,Dickey,Madisonville,TX,USA,11/27/1956,Texas A&M,Baltimore Colts,1st,5th,1980,RB,1-Jun,213,,,,,1987,1987
Eldridge Dickey,Eldridge,Dickey,Houston,TX,USA,12/24/1945,Tennessee St.,Oakland Raiders,1st,25th,1968,WR,2-Jun,198,,,,,1987,1987
Lynn Dickey,Lynn,Dickey,Paola,KS,USA,10/19/1949,Kansas St.,Houston Oilers,3rd,56th,1971,QB,3-Jun,214,,,,,1987,1987
Wallace Dickey,Wallace,Dickey,San Antonio,TX,USA,2/15/1941,Texas St.,Detroit Lions,15th,207th,1965,T,3-Jun,260,,,,,1987,1987
Bo Dickinson,Bo,Dickinson,Hattiesburg,MS,USA,7/18/1935,Southern Miss,Chicago Bears,6th,72nd,1957,FB,2-Jun,220,,,,,1987,1987
Parnell Dickinson,Parnell,Dickinson,Brighton,AL,USA,3/14/1953,Miss. Valley St.,Tampa Bay Buccaneers,7th,183rd,1976,QB,2-Jun,185,,,,,1987,1987
Tom Dickinson,Tom,Dickinson,Detroit,MI,USA,1897-07-20,Syracuse,,,,,E,8-May,175,,,,,1987,1987
Ed Dickson,Ed,Dickson,Inglewood,CA,USA,7/25/1987,Oregon,Baltimore Ravens,3rd,70th,2010,TE,4-Jun,244,,,,,1987,1987
JoJo Dickson,JoJo,Dickson,,,,7/13/1989,Idaho,,,,,LB,1-Jun,245,,,,,1987,1987
Paul Dickson,Paul,Dickson,Waco,TX,USA,2/26/1937,Baylor,Los Angeles Rams,1st,9th,1959,DT-T,5-Jun,252,,,,,1987,1987
Chuck Dicus,Chuck,Dicus,Odessa,TX,USA,10/2/1948,Arkansas,San Diego Chargers,7th,169th,1971,WR,Jun-00,183,,,,,1987,1987
Clint Didier,Clint,Didier,Connell,WA,USA,4/4/1959,Portland St.,Washington Redskins,12th,314th,1981,TE,5-Jun,240,,,,,1982,1989
Mark Didio,Mark,Didio,Syracuse,NY,USA,2/17/1969,Connecticut,,,,,WR,11-May,181,,,,,1982,1989
John Didion,John,Didion,Woodland,CA,USA,10/24/1947,Oregon St.,Washington Redskins,7th,173rd,1969,C-LB,4-Jun,245,,,,,1982,1989
Dahrran Diedrick,Dahrran,Diedrick,Montego Bay,,Jamaica,1/11/1979,Nebraska,,,,,RB,Jun-00,225,,,,,2004,2004
Charlie Diehl,Charlie,Diehl,,UT,USA,1/13/1905,Idaho,,,,,G-T,Jun-00,208,,,,,2004,2004
Dave Diehl,Dave,Diehl,Dansville,MI,USA,9/30/1918,Michigan St.,,,,,E,Jun-00,195,,,,,2004,2004
David Diehl,David,Diehl,Chicago,IL,USA,9/15/1980,Illinois,New York Giants,5th,160th,2003,G-T,5-Jun,315,,,,,2004,2004
John Diehl,John,Diehl,Philadelphia,PA,USA,1/27/1936,Virginia,Baltimore Colts,7th,82nd,1958,DT,7-Jun,265,,,,,2004,2004
Wally Diehl,Wally,Diehl,,,,,Pennsylvania,,,,,FB,Jun-00,204,,,,,2004,2004
Doug Dieken,Doug,Dieken,Streator,IL,USA,2/12/1949,Illinois,Cleveland Browns,6th,142nd,1971,T,5-Jun,254,,,,,2004,2004
Kris Dielman,Kris,Dielman,Goshen,IN,USA,2/3/1981,Indiana,,,,,G,4-Jun,310,,,,,2004,2004
Ryan Diem,Ryan,Diem,Carol Stream,IL,USA,7/1/1979,Northern Illinois,Indianapolis Colts,4th,118th,2001,T-G,6-Jun,331,,,,,2004,2004
Dan Dierdorf,Dan,Dierdorf,Canton,OH,USA,6/29/1949,Michigan,St. Louis Cardinals,2nd,43rd,1971,T-G-C,3-Jun,275,,,,,2004,2004
Scott Dierking,Scott,Dierking,Great Lakes Naval Base,IL,USA,5/24/1955,Purdue,New York Jets,4th,90th,1977,RB,10-May,218,,,,,2004,2004
Herb Dieter,Herb,Dieter,Springfield,OH,USA,1896-03-03,Pennsylvania,,,,,G-T-E,1-Jun,195,,,,,2004,2004
Chris Dieterich,Chris,Dieterich,Freeport,NY,USA,7/27/1958,North Carolina St.,Detroit Lions,6th,140th,1980,T-G,3-Jun,262,,,,,2004,2004
Evan Dietrich-Smith,Evan,Dietrich-Smith,Salinas,CA,USA,7/19/1986,Idaho St.,,,,,G,2-Jun,297,,,,,2004,2004
John Diettrich,John,Diettrich,Fort Wayne,IN,USA,5/9/1963,Ball St.,,,,,K,2-Jun,190,,,,,2004,2004
Dave diFilippo,Dave,diFilippo,Philadelphia,PA,USA,10/9/1916,Villanova,,,,,G,10-May,210,,,,,1941,1941
Na'il Diggs,Na'il,Diggs,Phoenix,AZ,USA,7/8/1978,Ohio St.,Green Bay Packers,4th,98th,2000,LB,4-Jun,238,,,,,2000,2011
Shelton Diggs,Shelton,Diggs,San Bernardino,CA,USA,4/22/1955,USC,Atlanta Falcons,5th,120th,1977,WR,1-Jun,190,,,,,2000,2011
Curt DiGiacomo,Curt,DiGiacomo,San Diego,CA,USA,10/24/1963,Arizona,,,,,G-C,4-Jun,270,,,,,2000,2011
John DiGiorgio,John,DiGiorgio,,MI,USA,6/29/1982,Saginaw Valley St.,,,,,LB,2-Jun,225,,,,,2000,2011
Bernie Digris,Bernie,Digris,Union City,CT,USA,6/9/1919,Holy Cross,,,,,T-G,Jun-00,212,,,,,2000,2011
Zach Diles,Zach,Diles,Abilene,TX,USA,6/11/1985,Kansas St.,Houston Texans,7th,218th,2007,LB,Jun-00,240,,,,,2007,2013
Trent Dilfer,Trent,Dilfer,Santa Cruz,CA,USA,3/13/1972,Fresno St.,Tampa Bay Buccaneers,1st,6th,1994,QB,4-Jun,225,,,,,2007,2013
Ken Dilger,Ken,Dilger,Mariah Hill,IN,USA,2/2/1971,Illinois,Indianapolis Colts,2nd,48th,1995,TE,5-Jun,250,,,,,2007,2013
Scott Dill,Scott,Dill,Birmingham,AL,USA,4/5/1966,Memphis,Phoenix Cardinals,9th,233rd,1988,T-G-C,5-Jun,294,,,,,2007,2013
Ellis Dillahunt,Ellis,Dillahunt,New Bern,NC,USA,11/25/1964,East Carolina,Cincinnati Bengals,10th,253rd,1988,DB,11-May,198,,,,,2007,2013
Jarett Dillard,Jarett,Dillard,San Antonio,TX,USA,12/21/1985,Rice,Jacksonville Jaguars,5th,144th,2009,WR,10-May,185,,,,,2007,2013
Phillip Dillard,Phillip,Dillard,Tulsa,OK,USA,12/10/1986,Nebraska,New York Giants,4th,115th,2010,LB,1-Jun,240,,,,,2007,2013
Stacey Dillard,Stacey,Dillard,Clarksville,TN,USA,9/17/1968,Oklahoma,New York Giants,6th,153rd,1992,NT-DT,5-Jun,290,,,,,2007,2013
Bobby Dillon,Bobby,Dillon,Temple,TX,USA,2/23/1930,Texas,Green Bay Packers,3rd,28th,1952,DB,1-Jun,180,,,,,2007,2013
Corey Dillon,Corey,Dillon,Seattle,WA,USA,10/24/1974,Washington,Cincinnati Bengals,2nd,43rd,1997,RB,1-Jun,225,,,,,2007,2013
Terry Dillon,Terry,Dillon,Waukesha,WI,USA,8/18/1941,Montana,Oakland Raiders,18th,137th,1963,DB,Jun-00,193,,,,,2007,2013
Steve Dils,Steve,Dils,Seattle,WA,USA,12/8/1955,Stanford,Minnesota Vikings,4th,97th,1979,QB,1-Jun,190,,,,,2007,2013
Bucky Dilts,Bucky,Dilts,Corpus Christi,TX,USA,12/6/1953,Georgia,,,,,P,9-May,185,,,,,2007,2013
Anthony Dilweg,Anthony,Dilweg,Washington,DC,USA,3/28/1965,Duke,Green Bay Packers,3rd,74th,1989,QB,3-Jun,215,,,,,2007,2013
Lavvie Dilweg,Lavvie,Dilweg,Milwaukee,WI,USA,1/11/1903,Marquette,,,,,E,3-Jun,200,,,,,2007,2013
Jayson DiManche,Jayson,DiManche,,,,9/22/1990,Southern Illinois,,,,,LB,1-Jun,232,,,,,2013,2013
Babe Dimancheff,Babe,Dimancheff,Indianapolis,IN,USA,9/6/1922,Butler,Boston Yanks,3rd,27th,1944,HB,11-May,178,,,,,2013,2013
Patrick DiMarco,Patrick,DiMarco,,,,4/30/1989,,,,,,FB,1-Jun,240,,,,,2013,2013
Tony DiMidio,Tony,DiMidio,Bryn Mawr,PA,USA,8/20/1942,West Chester,Kansas City Chiefs,9th,66th,1964,T-C,3-Jun,250,,,,,2013,2013
Tom Dimitroff,Tom,Dimitroff,,,,6/6/1935,Miami (OH),Cleveland Browns,25th,294th,1957,QB,11-May,200,,,,,2013,2013
Rich Dimler,Rich,Dimler,Bayonne,NJ,USA,7/18/1956,USC,Cleveland Browns,5th,124th,1979,DT,6-Jun,260,,,,,2013,2013
Don Dimmick,Don,Dimmick,,NY,USA,1/26/1902,Hobart,,,,,HB,8-May,160,,,,,2013,2013
Tom Dimmick,Tom,Dimmick,Opelousas,LA,USA,5/1/1931,Houston,Philadelphia Eagles,10th,113th,1956,C-T-LB,6-Jun,253,,,,,2013,2013
Charles Dimry,Charles,Dimry,San Diego,CA,USA,1/31/1966,UNLV,Atlanta Falcons,5th,110th,1988,DB,Jun-00,176,,,,,2013,2013
Gennaro DiNapoli,Gennaro,DiNapoli,Manhasset,NY,USA,5/25/1975,Virginia Tech,Oakland Raiders,4th,109th,1998,C-G,3-Jun,287,,,,,1999,2003
Adrian Dingle,Adrian,Dingle,Holly Hill,SC,USA,6/25/1977,Clemson,San Diego Chargers,5th,139th,1999,DE,3-Jun,272,,,,,1999,2003
Antonio Dingle,Antonio,Dingle,Fayetteville,NC,USA,10/7/1976,Virginia,Pittsburgh Steelers,7th,214th,1999,DT,2-Jun,315,,,,,1999,2003
Mike Dingle,Mike,Dingle,Moncks Corner,SC,USA,1/30/1969,South Carolina,Cincinnati Bengals,8th,211th,1991,RB,2-Jun,240,,,,,1999,2003
Nate Dingle,Nate,Dingle,East Machias,ME,USA,7/23/1971,Cincinnati,,,,,LB,2-Jun,252,,,,,1999,2003
Tom Dinkel,Tom,Dinkel,Topeka,KS,USA,7/25/1956,Kansas,Cincinnati Bengals,5th,126th,1978,LB,3-Jun,240,,,,,1999,2003
Darnell Dinkins,Darnell,Dinkins,Pittsburgh,PA,USA,1/20/1977,Pittsburgh,,,,,TE,3-Jun,255,,,,,1999,2003
Howard Dinkins,Howard,Dinkins,Jacksonville,FL,USA,4/26/1969,Florida St.,Atlanta Falcons,3rd,73rd,1992,LB,1-Jun,230,,,,,1999,2003
Terry Dion,Terry,Dion,Shelton,WA,USA,11/22/1957,Oregon,Seattle Seahawks,4th,97th,1980,DE,6-Jun,254,,,,,1980,1980
Jerry Diorio,Jerry,Diorio,Youngstown,OH,USA,1/11/1962,Michigan,,,,,TE,3-Jun,245,,,,,1980,1980
Ray DiPierro,Ray,DiPierro,Toledo,OH,USA,8/22/1926,Ohio St.,,,,,G,11-May,210,,,,,1950,1951
Johnnie Dirden,Johnnie,Dirden,Houston,TX,USA,3/14/1952,Sam Houston St.,Houston Oilers,10th,1st,1978,WR,Jun-00,188,,,,,1978,1981
Fred DiRenzo,Fred,DiRenzo,Dover,NJ,USA,1/28/1961,New Haven,,,,,FB,11-May,234,,,,,1978,1981
Robert DiRico,Robert,DiRico,Norristown,PA,USA,11/22/1963,West Chester,,,,,RB,10-May,202,,,,,1978,1981
Mike Dirks,Mike,Dirks,Monticello,GA,USA,8/28/1946,Wyoming,Philadelphia Eagles,5th,122nd,1968,DT-G,2-Jun,246,,,,,1978,1981
Tony Discenzo,Tony,Discenzo,,,,2/3/1936,Michigan St.,,,,,T,5-Jun,240,,,,,1960,1960
Leo Disend,Leo,Disend,New York,NY,USA,11/7/1915,Albright,,,,,T,2-Jun,224,,,,,1960,1960
Chris Dishman,Chris,Dishman,Cozad,NE,USA,2/27/1974,Nebraska,Arizona Cardinals,4th,106th,1997,G-C,3-Jun,339,,,,,1960,1960
Cris Dishman,Cris,Dishman,Louisville,KY,USA,8/13/1965,Purdue,Houston Oilers,5th,125th,1988,DB,Jun-00,195,,,,,1960,1960
Mike Ditka,Mike,Ditka,Carnegie,PA,USA,10/18/1939,Pittsburgh,Chicago Bears,1st,5th,1961,TE,3-Jun,228,,,,,1961,1972
John Dittrich,John,Dittrich,Sheboygan,WI,USA,5/7/1933,Wisconsin,Chicago Cardinals,6th,70th,1956,G,1-Jun,236,,,,,1961,1972
Lamar Divens,Lamar,Divens,Fayetteville,TN,USA,11/12/1985,Tennessee St.,,,,,DT,3-Jun,333,,,,,2008,2012
Joe DiVito,Joe,DiVito,,,,9/2/1945,Boston Col.,,,,,QB-P,2-Jun,205,,,,,2008,2012
Al Dixon,Al,Dixon,Drew,MS,USA,4/5/1954,Iowa St.,New York Giants,7th,178th,1977,TE,5-Jun,230,,,,,1977,1984
Andre Dixon,Andre,Dixon,Philadelphia,PA,USA,12/4/1975,Northeastern,,,,,DB,1-Jun,200,,,,,1977,1984
Anthony Dixon,Anthony,Dixon,Jackson,MS,USA,9/24/1987,Mississippi St.,San Francisco 49ers,6th,173rd,2010,RB,1-Jun,239,,,,,1977,1984
Antonio Dixon,Antonio,Dixon,Miami,FL,USA,6/17/1985,Miami (FL),,,,,DT,2-Jun,325,,,,,1977,1984
Cal Dixon,Cal,Dixon,Fort Lauderdale,FL,USA,10/11/1969,Florida,New York Jets,5th,127th,1992,C,4-Jun,302,,,,,1977,1984
David Dixon,David,Dixon,Papakura,,New Zealand,1/5/1969,Arizona St.,New England Patriots,9th,232nd,1992,G,5-Jun,343,,,,,1977,1984
Dennis Dixon,Dennis,Dixon,San Leandro,CA,USA,1/11/1985,Oregon,Pittsburgh Steelers,5th,156th,2008,QB,3-Jun,195,,,,,1977,1984
Dwayne Dixon,Dwayne,Dixon,Gainesville,FL,USA,8/2/1962,Florida,,,,,WR,1-Jun,205,,,,,1977,1984
Ernest Dixon,Ernest,Dixon,York,SC,USA,10/17/1971,South Carolina,,,,,LB,1-Jun,243,,,,,1977,1984
Floyd Dixon,Floyd,Dixon,Beaumont,TX,USA,4/9/1964,S.F. Austin,Atlanta Falcons,6th,154th,1986,WR,9-May,170,,,,,1977,1984
Gerald Dixon,Gerald,Dixon,Charlotte,NC,USA,6/20/1969,South Carolina,Cleveland Browns,3rd,78th,1992,LB,3-Jun,250,,,,,1977,1984
Hanford Dixon,Hanford,Dixon,Mobile,AL,USA,12/25/1958,Southern Miss,Cleveland Browns,1st,22nd,1981,DB,11-May,186,,,,,1977,1984
Hewritt Dixon,Hewritt,Dixon,Alachua,FL,USA,1/8/1940,Florida A&M,Denver Broncos,8th,60th,1963,RB-TE,1-Jun,230,,,,,1977,1984
James Dixon,James,Dixon,Vernon,TX,USA,2/2/1967,Houston,,,,,WR-RB,9-May,181,,,,,1977,1984
Joe Dixon,Joe,Dixon,Fort Smith,AR,USA,1/8/1964,Tulsa,,,,,NT,3-Jun,275,,,,,1977,1984
Marcus Dixon,Marcus,Dixon,Rome,GA,USA,9/16/1984,Hampton,,,,,DE,4-Jun,295,,,,,1977,1984
Mark Dixon,Mark,Dixon,Charlottesville,NC,USA,11/26/1970,Virginia,,,,,G-T,4-Jun,295,,,,,1977,1984
Randy Dixon,Randy,Dixon,Clewiston,FL,USA,3/12/1965,Pittsburgh,Indianapolis Colts,4th,85th,1987,G,3-Jun,305,,,,,1977,1984
Rich Dixon,Rich,Dixon,Roswell,NM,USA,8/6/1959,California,,,,,LB,2-Jun,235,,,,,1977,1984
Rickey Dixon,Rickey,Dixon,Dallas,TX,USA,12/26/1966,Oklahoma,Cincinnati Bengals,1st,5th,1988,DB,11-May,183,,,,,1977,1984
Ron Dixon,Ron,Dixon,Wildwood,FL,USA,5/28/1976,West Georgia,New York Giants,3rd,73rd,2000,WR,Jun-00,190,,,,,1977,1984
Ronnie Dixon,Ronnie,Dixon,Clinton,NC,USA,5/10/1971,Cincinnati,New Orleans Saints,6th,165th,1993,DT-NT,3-Jun,301,,,,,1977,1984
Titus Dixon,Titus,Dixon,Clewiston,FL,USA,6/15/1966,Troy,New York Jets,6th,153rd,1989,WR,6-May,152,,,,,1977,1984
Tony Dixon,Tony,Dixon,Tuscaloosa,AL,USA,6/18/1979,Alabama,Dallas Cowboys,2nd,56th,2001,DB,1-Jun,213,,,,,1977,1984
Zachary Dixon,Zachary,Dixon,Boston,MA,USA,3/5/1956,Temple,Denver Broncos,11th,297th,1979,RB,Jun-00,203,,,,,1977,1984
Jordon Dizon,Jordon,Dizon,Kauai,HI,USA,1/16/1986,Colorado,Detroit Lions,2nd,45th,2008,LB,Jun-00,228,,,,,2008,2009
Dinger Doane,Dinger,Doane,Natick,MA,USA,1893-10-14,Tufts,,,,,FB,10-May,190,,,,,1920,1927
Herb Dobbins,Herb,Dobbins,Statesville,NC,USA,6/22/1951,San Diego St.,,,,,T,4-Jun,260,,,,,1974,1974
Oliver Dobbins,Oliver,Dobbins,Philadelphia,PA,USA,11/30/1941,Morgan St.,Pittsburgh Steelers,18th,247th,1964,DB,Jun-00,182,,,,,1974,1974
Tim Dobbins,Tim,Dobbins,Nashville,TN,USA,12/10/1982,Iowa St.,San Diego Chargers,5th,151st,2006,LB,1-Jun,245,,,,,1974,1974
Demarcus Dobbs,Demarcus,Dobbs,,,,11/30/1987,,,,,,DE,6-Jun,275,,,,,1974,1974
Glenn Dobbs,Glenn,Dobbs,McKinney,TX,USA,7/12/1920,Tulsa,Chicago Cardinals,1st,3rd,1943,TB-QB,4-Jun,210,,,,,1974,1974
Dick Dobeleit,Dick,Dobeleit,,,,7/4/1903,Ohio St.,,,,,B,4-May,155,,,,,1974,1974
Bob Dobelstein,Bob,Dobelstein,Bridgeport,CT,USA,10/27/1922,Tennessee,Chicago Cardinals,4th,28th,1945,G,11-May,214,,,,,1974,1974
Conrad Dobler,Conrad,Dobler,Chicago,IL,USA,10/1/1950,Wyoming,St. Louis Cardinals,5th,110th,1972,G,3-Jun,254,,,,,1974,1974
Emil Dobry,Emil,Dobry,,,,1895-08-10,Montana,,,,,E,11-May,175,,,,,1974,1974
Aaron Dobson,Aaron,Dobson,,,,7/23/1991,Marshall,New England Patriots,2nd,59th,2013,WR,3-Jun,210,,,,,1974,1974
Derrick Dockery,Derrick,Dockery,Garland,TX,USA,9/7/1980,Texas,Washington Redskins,3rd,81st,2003,G,6-Jun,345,,,,,2003,2012
James Dockery,James,Dockery,,,,11/9/1988,Oregon State,,,,,DB,1-Jun,185,,,,,2003,2012
John Dockery,John,Dockery,Brooklyn,NY,USA,9/6/1944,Harvard,,,,,DB,Jun-00,185,,,,,2003,2012
Kevin Dockery,Kevin,Dockery,Memphis,TN,USA,1/8/1984,Mississippi St.,,,,,DB,8-May,188,,,,,2003,2012
Darnell Dockett,Darnell,Dockett,Burtonsville,MD,USA,5/27/1981,Florida St.,Arizona Cardinals,3rd,64th,2004,DT,4-Jun,293,,,,,2003,2012
Al Dodd,Al,Dodd,New Orleans,LA,USA,8/21/1945,NW State (LA),Chicago Bears,4th,90th,1967,WR-SE-DB,Jun-00,185,,,,,1967,1974
Dedrick Dodge,Dedrick,Dodge,Neptune,NJ,USA,6/14/1967,Florida St.,,,,,DB,2-Jun,184,,,,,1967,1974
Kirk Dodge,Kirk,Dodge,Whittier,CA,USA,6/4/1962,UNLV,Atlanta Falcons,7th,175th,1984,LB,1-Jun,231,,,,,1967,1974
Matt Dodge,Matt,Dodge,Morehead City,NC,USA,5/30/1987,East Carolina,New York Giants,7th,221st,2010,P,2-Jun,220,,,,,1967,1974
Dale Dodrill,Dale,Dodrill,Stockton,KS,USA,2/27/1926,Colorado St.,Pittsburgh Steelers,6th,67th,1951,MG-LB,1-Jun,215,,,,,1967,1974
Les Dodson,Les,Dodson,Birmingham,AL,USA,4/18/1916,Mississippi,Philadelphia Eagles,14th,121st,1941,B,1-Jun,180,,,,,1967,1974
John Doehring,John,Doehring,Milwaukee,WI,USA,11/6/1909,none,,,,,B,Jun-00,216,,,,,1932,1937
Sonny Doell,Sonny,Doell,Mason,TX,USA,12/8/1906,Texas,,,,,T,Jun-00,200,,,,,1932,1937
Fred Doelling,Fred,Doelling,Valparaiso,IN,USA,9/27/1938,Pennsylvania,,,,,DB,10-May,190,,,,,1932,1937
Jerry Doerger,Jerry,Doerger,Cincinnati,OH,USA,7/18/1960,Wisconsin,Chicago Bears,8th,200th,1982,C-T,5-Jun,270,,,,,1932,1937
Chris Doering,Chris,Doering,Gainesville,FL,USA,5/19/1973,Florida,Jacksonville Jaguars,6th,185th,1996,WR,4-Jun,202,,,,,1932,1937
Jason Doering,Jason,Doering,Rhinelander,WI,USA,4/22/1978,Wisconsin,Indianapolis Colts,6th,193rd,2001,DB,Jun-00,201,,,,,1932,1937
Kevin Dogins,Kevin,Dogins,Eagle Lake,TX,USA,12/7/1972,Texas A&M-Kingsville,,,,,G-C,1-Jun,295,,,,,1996,2002
George Doherty,George,Doherty,Camden,MS,USA,9/5/1920,Louisiana Tech,Brooklyn Tigers,20th,199th,1944,T-G,1-Jun,218,,,,,1944,1947
Mel Doherty,Mel,Doherty,,,,,Marietta,,,,,C,11-May,190,,,,,1944,1947
Tom Dohring,Tom,Dohring,Detroit,MI,USA,5/24/1968,Michigan,Kansas City Chiefs,8th,218th,1991,T,6-Jun,290,,,,,1944,1947
Steve Doig,Steve,Doig,Melrose,MA,USA,3/28/1960,New Hampshire,Detroit Lions,3rd,69th,1982,LB,2-Jun,240,,,,,1982,1987
Phil Dokes,Phil,Dokes,North Little Rock,AR,USA,9/7/1955,Oklahoma St.,Buffalo Bills,1st,12th,1977,DT-DE,4-Jun,258,,,,,1977,1978
Cliff Dolaway,Cliff,Dolaway,,PA,USA,12/11/1913,Carnegie Mellon,,,,,E,Jun-00,215,,,,,1935,1935
Jack Dolbin,Jack,Dolbin,Pottsville,PA,USA,10/12/1948,Wake Forest,,,,,WR,10-May,180,,,,,1935,1935
Chris Doleman,Chris,Doleman,Indianapolis,IN,USA,10/16/1961,Pittsburgh,Minnesota Vikings,1st,4th,1985,DE-LB,5-Jun,289,,,,,1935,1935
Don Doll,Don,Doll,Los Angeles,CA,USA,8/29/1926,USC,Detroit Lions,9th,67th,1948,DB,10-May,185,,,,,1935,1935
Tony Dollinger,Tony,Dollinger,Winter Park,FL,USA,10/18/1962,Evangel (MO),,,,,RB,11-May,205,,,,,1935,1935
Dick Dolly,Dick,Dolly,Onego,WV,USA,12/12/1917,West Virginia,,,,,E,3-Jun,211,,,,,1935,1935
Paul Dombroski,Paul,Dombroski,Sumter,SC,USA,8/8/1956,Hawaii,,,,,DB,Jun-00,185,,,,,1980,1985
Brandyn Dombrowski,Brandyn,Dombrowski,Buffalo,NY,USA,4/3/1985,San Diego St.,,,,,G,5-Jun,323,,,,,1980,1985
Jim Dombrowski,Jim,Dombrowski,Williamsville,NY,USA,10/19/1963,Virginia,New Orleans Saints,1st,6th,1986,G-T,5-Jun,300,,,,,1980,1985
Leon Dombrowski,Leon,Dombrowski,Wilmington,DE,USA,4/9/1938,Delaware,,,,,LB,Jun-00,215,,,,,1980,1985
Matt Dominguez,Matt,Dominguez,Georgetown,TX,USA,6/27/1978,Sam Houston St.,,,,,TE,2-Jun,219,,,,,1980,1985
Ray Dominguez,Ray,Dominguez,,,,7/12/1988,,,,,,T-G,4-Jun,334,,,,,1980,1985
Joe Domnanovich,Joe,Domnanovich,South Bend,IN,USA,3/18/1919,Alabama,Brooklyn Dodgers,4th,28th,1943,C-LB,1-Jun,213,,,,,1980,1985
Marty Domres,Marty,Domres,Ithaca,NY,USA,4/17/1947,Columbia,San Diego Chargers,1st,9th,1969,QB,4-Jun,220,,,,,1980,1985
Tom Domres,Tom,Domres,Marshfield,WI,USA,10/19/1946,Wisconsin,Houston Oilers,10th,268th,1968,DT,3-Jun,260,,,,,1980,1985
Waldo Don Carlos,Waldo,Don,Greenfield,IA,USA,10/16/1909,Drake,,,,,C,2-Jun,190,,,,,1931,1931
Jack Donahue,Jack,Donahue,,,,,Boston Col.,,,,,G-T,2-Jun,230,,,,,1931,1931
Mark Donahue,Mark,Donahue,Evergreen Park,IL,USA,1/29/1956,Michigan,Cincinnati Bengals,11th,294th,1978,G,3-Jun,256,,,,,1931,1931
Mitch Donahue,Mitch,Donahue,Los Angeles,CA,USA,2/4/1968,Wyoming,San Francisco 49ers,4th,95th,1991,LB,2-Jun,254,,,,,1931,1931
Oscar Donahue,Oscar,Donahue,,,,6/7/1937,San Jose St.,Green Bay Packers,6th,84th,1962,WR,3-Jun,195,,,,,1931,1931
Ryan Donahue,Ryan,Donahue,,,,3/17/1988,,,,,,P,3-Jun,190,,,,,1931,1931
Gene Donaldson,Gene,Donaldson,,,,9/29/1930,Kentucky,Cleveland Browns,3rd,37th,1953,G,9-May,215,,,,,1931,1931
Gene Donaldson,Gene,Donaldson,Birmingham,AL,USA,11/4/1942,Purdue,Washington Redskins,11th,143rd,1964,RB,2-Jun,230,,,,,1931,1931
Herb Donaldson,Herb,Donaldson,,,,12/13/1985,,,,,,RB,11-May,221,,,,,1931,1931
Jeff Donaldson,Jeff,Donaldson,Fort Collins,CO,USA,4/19/1962,Colorado,Houston Oilers,9th,226th,1984,DB,Jun-00,192,,,,,1931,1931
John Donaldson,John,Donaldson,Jesup,GA,USA,8/22/1925,Georgia,,,,,DB-TB,10-May,180,,,,,1931,1931
Ray Donaldson,Ray,Donaldson,Rome,GA,USA,5/18/1958,Georgia,Baltimore Colts,2nd,32nd,1980,C,3-Jun,311,,,,,1931,1931
Tom Donchez,Tom,Donchez,Bethlehem,PA,USA,3/10/1952,Penn St.,Buffalo Bills,4th,102nd,1975,RB,2-Jun,216,,,,,1931,1931
Bill Donckers,Bill,Donckers,Renton,WA,USA,1/8/1951,San Diego St.,,,,,QB,1-Jun,205,,,,,1931,1931
